"Journal","Field","Publisher","Publisher type","Business model","Institution","Institution type","Country","Website","APC Euros","Scimago Rank","Scimago Quartile","H index","PCI partner","e-ISSN","p-ISSN"
"Acta Oncologica","Cancer - Generalist","Taylor & Francis Group","For-profit","OA","Acta Oncologica Foundation","Non-profit","Sweden","https://www.tandfonline.com/journals/ionc20","1749","0.952","Q1 (Medicine; Radiology, Nuclear Medicine and Imaging)","127","No","1651-226X","0284-186X"
"Acta Ornithologica","Ecology & Evolution - Zoology","Museum and Institute of Zoology / Polish Academy of Sciences","Non-profit","Subscription","Museum and Institute of Zoology / Polish Academy of Sciences","University/Government","Poland","https://bioone.org/journals/acta-ornithologica/","","0.574","Q1 (Animal Science and Zoology)","39","No","","0001-6454"
"Acta Parasitologica","Ecology & Evolution - Health; Immunology - Parasitology","Springer Nature","For-profit associated with a society","Hybrid","W. Stefanski Institute of Parasitology of the Polish Academy of Sciences","Society/Association","Germany / UK","https://link.springer.com/journal/11686","2090","0.389","Q3 (Parasitology)","44","No","1896-1851","1230-2821"
"Acta Pharmaceutica Sinica B","Molecular & Cellular Biology - Pharmacology and Toxicology","Elsevier","For-profit associated with a society","OA","Institute of Materia Medica; Chinese Academy of Medical Sciences; Chinese Pharmaceutical Association","Society/Association","Netherlands","https://www.sciencedirect.com/journal/acta-pharmaceutica-sinica-b","","3.439","Q1 (Pharmacology, Toxicology and Pharmaceutics)","146","No","2211-3843","2211-3835"
"Acta Pharmacologica Sinica","Molecular & Cellular Biology - Pharmacology and Toxicology","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://www.nature.com/aps/","3545","2.691","Q1 (Medicine; Pharmacology)","134","No","1745-7254","1671-4083"
"Acta Physiologica","Anatomy & Physiology - Physiology","John Wiley & Sons","For-profit associated with a society","Hybrid","Scandinavian Physiological Society","Society/Association","USA","https://onlinelibrary.wiley.com/journal/17481716","4977","1.581","Q1 (Physiology)","141","No","1748-1716","1748-1708"
"Acta Psychiatrica Scandinavica","Neurosciences - Clinical Neuroscience","John Wiley & Sons","For-profit","Hybrid","","","USA","https://onlinelibrary.wiley.com/journal/16000447","2340","2.035","Q1 (Psychiatry and Mental Health)","182","No","1600-0447","0001-690X"
"Acta tropica","Immunology - Virology; Molecular & Cellular Biology - Microbiology and Infectious Diseases","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/acta-tropica","2026","0.676","Q1 (Insect Science; Veterinary)","126","No","1873-6254","0001-706X"
"Adansonia","Ecology & Evolution - Genetics; Plants - Generalist","Muséum national d'Histoire naturelle (MNHN)","Non-profit","OA diamond","Museum National d'Histoire Naturelle","University/Government","France","https://sciencepress.mnhn.fr/fr/periodiques/adansonia","0","0.39","Q2 (Plant Science)","18","No","1639-4798","1280-8571"
"Adaptive Behavior","Neurosciences - Generalist","Sage Publishing","For-profit associated with a society","Hybrid","International Society for Adaptive Behavior (ISAB)","Society/Association","USA","https://journals.sagepub.com/home/adba","3788","0.434","Q1 (Philosophy)","64","No","1741-2633","1059-7123"
"Addiction","Neurosciences - Addiction","John Wiley & Sons","For-profit associated with a society","Hybrid","Society for the Study of Addiction","Society/Association","USA","https://onlinelibrary.wiley.com/journal/13600443","2472","2.399","Q1 (Medicine; Psychiatry and Mental Health)","232","No","1360-0443","0965-2140"
"Addiction Biology","Neurosciences - Addiction","John Wiley & Sons","For-profit associated with a society","OA","Society for the Study of Addiction","Society/Association","USA","https://onlinelibrary.wiley.com/journal/13691600","3057","0.921","Q1 (Medicine)","101","No","1369-1600","1355-6215"
"Addiction Research and Theory","Neurosciences - Addiction","Taylor & Francis Group","For-profit","Hybrid","","","UK","https://www.tandfonline.com/journals/iart20","2973","0.746","Q2 (Medicine)","68","No","1476-7392","1606-6359"
"Addiction Science and Clinical Practice","Neurosciences - Addiction","Springer Nature (BioMed Central)","For-profit","OA","Evans Medical Foundation","","UK","https://ascpjournal.biomedcentral.com/","2463","1.127","Q1 (Clinical Psychology; Psychiatry and Mental Health)","54","No","1940-0640","1940-0632"
