Journal's MAIN field,Field,Journal,Website,Publisher type,Publisher,Institution,Institution type,Country,Business model,APC Euros,Alternative journal name,Present in Scimago,Present in DOAJ,Present in openAPC,Scimago Rank,Scimago Quartile,H index,PCI partner,e-ISSN,p-ISSN,ISSN-L
Ecology & Evolution,Genetics,Bryologist,https://bioone.org/journals/the-bryologist/issues,Non-profit,The American Bryological and Lichenological Society,The American Bryological and Lichenological Society,Society/Association,USA,Hybrid,,,Yes,No,No,0.329,"Q3 (Ecology, Evolution, Behavior and Systematics; Plant Science)",57,No,,0007-2745,0007-2745
Ecology & Evolution,Zoology,Bulletin de la Societe Entomologique de France,https://lasef.org/publications/le-bulletin-de-la-sef/,Non-profit,Societe Entomologique de France,Societe Entomologique de France,Society/Association,France,Subscription,,,No,No,No,,,,No,,,
Ecology & Evolution,Zoology,Bulletin de la Societe Herpetologique de France,https://lashf.org/bshf/,Non-profit,Societe Herpetologique de France,Societe Herpetologique de France,Society/Association,France,Subscription,,,No,No,No,,,,No,,,
Ecology & Evolution,Zoology,Bulletin de la Societe Zoologique de France,https://societe-zoologique.fr/index.php/bulletin-et-memoires,Non-profit,Societe zoologique de France,Societe Zoologique de France,Society/Association,France,OA,157,Bulletin et Mémoires de la Société zoologique de France,No,No,Yes,,,,No,,,0037-962X
Ecology & Evolution,Genetics,Bulletin of Marine Science,https://bullmarsci.org/,Non-profit,Rosenstiel School of Marine Atmospheric & Earth Science of the University of Miami,Rosenstiel School of Marine Atmospheric & Earth Science of the University of Miami,University/Government,USA,Hybrid,1063,,Yes,No,No,0.276,Q3 (Aquatic Science; Oceanography),92,No,1553-6955,0007-4977,0007-4977
Ecology & Evolution,Theory,Bulletin of Mathematical Biology,https://www.springer.com/journal/11538,For-profit Society-Run,Springer Nature,Society for Mathematical Biology,Society/Association,Germany / UK,Hybrid,2445,,Yes,No,Yes,0.73,Q1 (Agricultural and Biological Sciences; Mathematics),106,No,1522-9602,0092-8240,0092-8240
Ecology & Evolution,Zoology,Bulletin of Zoological Nomenclature,https://bioone.org/journals/the-bulletin-of-zoological-nomenclature,Non-profit,International Commission on Zoological Nomenclature,International Commission on Zoological Nomenclature,University/Government,Singapore,OA diamond,0,,No,No,No,,,,No,,,
Ecology & Evolution,Zoology,Canadian Entomologist,https://esc-sec.ca/publications/the-canadian-entomologist/,University Press Society-Run,Cambridge University Press (CUP),Entomological Society of Canada,Society/Association,UK,Hybrid,,,Yes,No,No,0.334,"Q3 (Ecology, Evolution, Behavior and Systematics; Insect Science)",54,No,1918-3240,0008-347X,0008-347X
Ecology & Evolution,Genetics,Canadian Journal of Forest Research,https://cdnsciencepub.com/journal/cjfr,Non-profit,Canadian Science Publishing,Canadian Society of Ecology ad Evolution,Society/Association,Canada,Hybrid,4317,,Yes,No,Yes,0.574,Q1 (Forestry),144,No,1208-6037,0045-5067,0045-5067
Ecology & Evolution,Zoology,Canadian Journal of Zoology,https://cdnsciencepub.com/journal/cjz,Non-profit,Canadian Science Publishing,Canadian Society of Zoologists,Society/Association,Canada,Hybrid,,,Yes,No,No,0.465,"Q2 (Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics)",122,No,1480-3283,0008-4301,0008-4301
Ecology & Evolution,Applied Ecology,Chelonian Conservation and Biology,https://bioone.org/journals/chelonian-conservation-and-biology,Non-profit,Chelonian Research Foundation and Turtle Conservancy,Chelonian Research Foundation and Turtle Conservancy,Non-profit,USA,Hybrid,,,Yes,No,No,0.302,"Q3 (Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics)",40,No,,1071-8443,1071-8443
Ecology & Evolution,Applied Ecology,Cities and the Environment,https://digitalcommons.lmu.edu/cate/,Non-profit,Loyola Marymount University,Loyola Marymount University,University/Government,USA,OA diamond,0,,No,Yes,No,,,,No,1932-7048,,
Ecology & Evolution,Genetics,Cladistics,https://onlinelibrary.wiley.com/journal/10960031,For-profit Society-Run,John Wiley & Sons,Willi Hennig Society,Society/Association,USA,Hybrid,2612,,Yes,No,No,2.836,"Q1 (Ecology, Evolution, Behavior and Systematics)",113,No,1096-0031,0748-3007,0748-3007
Ecology & Evolution,Health,Clinical Microbiology and Infection,https://www.clinicalmicrobiologyandinfection.com/,For-profit Society-Run,Elsevier,European Society of Clinical Microbiology and Infectious Diseases,Society/Association,Netherlands,Hybrid,2793,,Yes,No,Yes,2.658,Q1 (Infectious Diseases; Medicine; Microbiology),219,No,1469-0691,1198-743X,1198-743X
Ecology & Evolution,Applied Ecology,Coastal Management,https://www.tandfonline.com/journals/ucmg20/about-this-journal,For-profit Society-Run,Taylor & Francis Group,Coastal Society,Society/Association,UK,Hybrid,2630,,Yes,No,No,0.486,Q2 (Environmental Science),64,No,1521-0421,0892-0753,0892-0753
Ecology & Evolution,Zoology,Coleopterists Bulletin,https://www.coleopsoc.org/the-coleopterists-bulletin/,Non-profit,The Coleopterists Society,The Coleopterists Society,Society/Association,USA,Subscription,,,Yes,No,No,0.334,Q3 (Insect Science),30,No,,0010-065X,0010-065X
Ecology & Evolution,Genetics,Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology,https://www.sciencedirect.com/journal/comparative-biochemistry-and-physiology-part-a-molecular-and-integrative-physiology,For-profit Society-Run,Elsevier,Society for Integrative and Comparative Biology,Society/Association,Netherlands,Hybrid,2221,,Yes,No,No,0.547,Q1 (Animal Science and Zoology),138,No,1531-4332,1095-6433,1095-6433
Ecology & Evolution,Health,Comparative Parasitology,https://bioone.org/journals/comparative-parasitology,Non-profit,Helminthological Society of Washington,Helminthological Society of Washington,Society/Association,USA,Subscription,,,Yes,No,No,0.267,"Q3 (Ecology, Evolution, Behavior and Systematics)",35,No,,1525-2647,1525-2647
Ecology & Evolution,Applied Ecology,Conservation & Society,https://www.conservationandsociety.org.in/,For-profit Society-run,Wolters Kluwer Medknow Publications,Ashoka Trust for Research in Ecology and the Environment,University/Government,India,OA,601,,Yes,Yes,No,0.833,"Q1 (Ecology; Ecology, Evolution, Behavior and Systematics; Nature and Landscape Conservation)",58,No,0975-3133,0972-4923,0972-4923
Ecology & Evolution,Applied Ecology,Conservation Biology,https://conbio.onlinelibrary.wiley.com/journal/15231739,For-profit Society-Run,John Wiley & Sons,Society for Conservation Biology,Society/Association,USA,Hybrid,2270,,Yes,No,No,2.004,"Q1 (Ecology; Ecology, Evolution, Behavior and Systematics; Medicine; Nature and Landscape Conservation)",267,No,1523-1739,0888-8892,0888-8892
Ecology & Evolution,Applied Ecology,Conservation Letters,https://conbio.onlinelibrary.wiley.com/journal/1755263x,For-profit Society-Run,John Wiley & Sons,Society for Conservation Biology,Society/Association,USA,OA,1943,,Yes,Yes,Yes,2.27,"Q1 (Ecology; Ecology, Evolution, Behavior and Systematics; Nature and Landscape Conservation)",125,No,1755-263X,1755-263X,1755-263X
Ecology & Evolution,Applied Ecology,Conservation Physiology,https://academic-oup-com.inee.bib.cnrs.fr/conphys,University Press Society-Run,Oxford University Press (OUP),Society for Experimental Biology,Society/Association,UK,OA,2379,,Yes,Yes,Yes,0.729,Q1 (Nature and Landscape Conservation),64,No,2051-1434,,2051-1434
Ecology & Evolution,Applied Ecology,Conservation Science and Practice,https://conbio.onlinelibrary.wiley.com/journal/25784854,For-profit Society-Run,John Wiley & Sons,The Society for Conservation Biology,Society/Association,USA,OA,1510,,Yes,Yes,Yes,1.079,Q1 (Ecology; Environmental Science; Nature and Landscape Conservation),44,No,2578-4854,2578-4854,2578-4854
Ecology & Evolution,Zoology,Contributions to Zoology,https://brill.com/view/journals/ctoz/ctoz-overview.xml,For-profit Society-run,De Gruyter Brill,Naturalis Biodiversity Center,University/Government,Germany / Netherlands,OA,1562,,Yes,Yes,Yes,0.591,Q1 (Animal Science and Zoology),42,No,1875-9866,1383-4517,1383-4517
Ecology & Evolution,Zoology,Coral Reefs,https://www.springer.com/journal/338,For-profit Society-Run,Springer Nature,International Coral Reef Society,Society/Association,Germany / UK,Hybrid,2318,,Yes,No,No,0.901,Q1 (Aquatic Science),131,No,1432-0975,0722-4028,0722-4028
Ecology & Evolution,Genetics,Cryptogamie Algologie,https://sciencepress.mnhn.fr/fr/periodiques/algologie,Non-profit,Museum National d'Histoire Naturelle,Museum National d'Histoire Naturelle,University/Government,France,OA diamond,0,,Yes,No,No,0.451,"Q2 (Aquatic Science; Ecology, Evolution, Behavior and Systematics; Plant Science)",41,No,,0181-1568,0181-1568
Ecology & Evolution,Genetics,Cryptogamie Bryologie,https://sciencepress.mnhn.fr/fr/periodiques/bryologie,Non-profit,Museum National d'Histoire Naturelle,Museum National d'Histoire Naturelle,University/Government,France,OA diamond,0,,Yes,No,No,0.241,"Q3 (Ecology, Evolution, Behavior and Systematics; Plant Science)",31,No,,1290-0796,1290-0796
Ecology & Evolution,Microbiology,Cryptogamie Mycologie,https://sciencepress.mnhn.fr/fr/periodiques/mycologie,Non-profit,Museum National d'Histoire Naturelle,Museum National d'Histoire Naturelle,University/Government,France,OA diamond,0,,Yes,No,No,0.376,"Q3 (Ecology, Evolution, Behavior and Systematics)",38,No,,0181-1584,0181-1584
Ecology & Evolution,Zoology,Current Herpetology,https://herpetology.jp/CurHerp/,Non-profit,Herpetological Society of Japan,Herpetological Society of Japan,Society/Association,Japan,Subscription,,,Yes,No,No,0.447,Q2 (Animal Science and Zoology),22,No,1881-1019,1345-5834,1345-5834
Ecology & Evolution,Zoology,Current Zoology,https://academic.oup.com/cz,University Press Society-Run,Oxford University Press (OUP),China Zoological Society,Society/Association,UK,OA,1455,,Yes,Yes,No,0.688,Q1 (Animal Science and Zoology),58,No,2396-9814,1674-5507,1674-5507
Ecology & Evolution,Zoology,Cybium,https://sfi-cybium.fr/fr/cybium-revue-internationale-dichtyologie,Non-profit,Societe Francaise d'Ichtyologie,Societe Francaise d'Ichtyologie,Society/Association,France,Subscription,,,Yes,No,No,0.209,"Q4 (Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics)",37,No,2101-0315,0399-0974,0399-0974
Ecology & Evolution,Zoology,Developmental Dynamics,https://anatomypubs.onlinelibrary.wiley.com/journal/10970177,For-profit Society-Run,John Wiley & Sons,American Association for Anatomy,Society/Association,USA,Hybrid,1978,,Yes,No,No,0.837,Q2 (Developmental Biology),161,No,1097-0177,1058-8388,1058-8388
Ecology & Evolution,Applied Ecology,Ecography,https://onlinelibrary.wiley.com/journal/16000587,For-profit Society-Run,John Wiley & Sons,Nordic Society Oikos,Society/Association,UK,OA,2131,,Yes,Yes,Yes,2.295,"Q1 (Ecology, Evolution, Behavior and Systematics)",169,No,1600-0587,0906-7590,0906-7590
Ecology & Evolution,Health,Ecohealth,https://www.springer.com/journal/10393,For-profit Society-run,Springer Nature,EcoHealth Alliance,Non-profit,Germany / UK,Hybrid,2220,,Yes,No,No,0.596,Q2 (Ecology),80,No,1612-9210,1612-9202,1612-9202
Ecology & Evolution,Genetics,Ecologia Mediterranea,https://ecologia-mediterranea.univ-avignon.fr/,For-profit Society-run,Naturalia Publications,Institut Mediterraneen de Biodiversite et d'Ecologie,University/Government,France,Subscription,,,Yes,No,No,0.113,"Q4 (Ecology; Ecology, Evolution, Behavior and Systematics)",5,No,1775-4100,0153-8756,0153-8756
Ecology & Evolution,Applied Ecology,Ecological Applications,https://esajournals.onlinelibrary.wiley.com/journal/19395582,For-profit Society-Run,John Wiley & Sons,Ecological Society of America,Society/Association,USA,Hybrid,2474,,Yes,No,No,1.677,Q1 (Ecology),252,No,1939-5582,1051-0761,1051-0761
Ecology & Evolution,Zoology,Ecological Entomology,https://onlinelibrary.wiley.com/journal/13652311,For-profit Society-Run,John Wiley & Sons,Royal Entomological Society,Society/Association,USA,Hybrid,2354,,Yes,No,No,0.631,Q1 (Insect Science),103,No,1365-2311,0307-6946,0307-6946
Ecology & Evolution,Genetics,Ecological Monographs,https://esajournals.onlinelibrary.wiley.com/journal/15577015,For-profit Society-Run,John Wiley & Sons,Ecological Society of America,Society/Association,USA,Hybrid,3000,,Yes,No,Yes,3.776,"Q1 (Ecology, Evolution, Behavior and Systematics)",188,No,1557-7015,0012-9615,0012-9615
Ecology & Evolution,Genetics,Ecological Research,https://esj-journals.onlinelibrary.wiley.com/journal/14401703,For-profit Society-Run,John Wiley & Sons,The Ecological Society of Japan,Society/Association,USA,Hybrid,2496,,Yes,No,No,0.594,"Q2 (Ecology, Evolution, Behavior and Systematics)",92,No,1440-1703,0912-3814,0912-3814
Ecology & Evolution,Applied Ecology,Ecological Solutions & Evidence,https://besjournals.onlinelibrary.wiley.com/journal/26888319,For-profit Society-Run,John Wiley & Sons,British Ecological Society,Society/Association,UK,OA,1993,,Yes,Yes,Yes,1.026,"Q1 (Ecology; Management, Monitoring, Policy and Law; Nature and Landscape Conservation)",27,No,2688-8319,2688-8319,2688-8319
Ecology & Evolution,Genetics,Ecology,https://esajournals.onlinelibrary.wiley.com/journal/19399170,For-profit Society-Run,John Wiley & Sons,Ecological Society of America,Society/Association,USA,Hybrid,2228,,Yes,No,No,1.767,"Q1 (Ecology, Evolution, Behavior and Systematics)",357,No,1939-9170,0012-9658,0012-9658
Ecology & Evolution,Applied Ecology,Ecology and Society,https://ecologyandsociety.org/,Non-profit,Resilience Alliance/Ecology & Society,Ecology & Society,Society/Association,USA,OA,1249,,Yes,Yes,Yes,1.209,Q1 (Ecology),190,No,1708-3087,1708-3087,1708-3087
Ecology & Evolution,Genetics,Ecology Letters,https://onlinelibrary.wiley.com/journal/14610248,For-profit Society-run,John Wiley & Sons,Centre National de la Recherche Scientifique,University/Government,USA,Hybrid,2815,,Yes,No,Yes,3.382,"Q1 (Ecology, Evolution, Behavior and Systematics)",346,No,1461-0248,1461-023X,1461-023X
Ecology & Evolution,Genetics,Ecoscience,https://www.tandfonline.com/toc/teco20/current,For-profit Society-run,Taylor & Francis Group,Universite Laval,University/Government,UK,Hybrid,,,Yes,No,No,0.337,"Q3 (Ecology; Ecology, Evolution, Behavior and Systematics)",81,No,,1195-6860,1195-6860
Ecology & Evolution,Genetics,Ecosphere,https://esajournals.onlinelibrary.wiley.com/journal/21508925,For-profit Society-Run,John Wiley & Sons,Ecological Society of America,Society/Association,USA,OA,1674,,Yes,Yes,Yes,1.095,"Q1 (Ecology; Ecology, Evolution, Behavior and Systematics)",105,No,2150-8925,2150-8925,2150-8925
Ecology & Evolution,Genetics,Egyptian Journal of Botany,https://ejbo.journals.ekb.eg/,Non-profit,Egyptian Academy of Scientific Research and Technology,Egyptian Botanical Society,Society/Association,Egypt,OA diamond,0,,Yes,No,No,0.298,"Q3 (Agronomy and Crop Science; Biotechnology; Ecology; Ecology, Evolution, Behavior and Systematics; Plant Science)",18,No,2357-0350,0375-9237,0375-9237
Ecology & Evolution,Applied Ecology,Elementa,https://online.ucpress.edu/elementa/,University Press,University of California Press,University of California,University/Government,Italy,OA,1927,Elementa: Science of the Anthropocene,Yes,Yes,With alternative journal name,1.489,Q1 (Atmospheric Science; Ecology; Environmental Engineering; Geology; Geotechnical Engineering and Engineering Geology; Oceanography),68,No,2785-4426,2785-4558,2325-1026
Ecology & Evolution,Genetics,EMBO Reports,https://www.embopress.org/journal/14693178,Non-profit,EMBO Press,European Molecular Biology Organisation,Non-profit,UK,Hybrid,7607,,Yes,Yes,Yes,2.711,Q1 (Biochemistry; Genetics; Molecular Biology),227,No,1469-3178,1469-221X,1469-221X
Ecology & Evolution,Health,Emerging Infectious Diseases,https://wwwnc.cdc.gov/eid/,Non-profit,Centers for Disease Control and Prevention,Centers for Disease Control and Prevention,University/Government,USA,OA diamond,0,,Yes,Yes,No,2.034,Q1 (Epidemiology; Infectious Diseases; Microbiology),287,No,1080-6059,1080-6040,1080-6040
Ecology & Evolution,Zoology,Entomologia Experimentalis et Applicata,https://onlinelibrary.wiley.com/journal/15707458,For-profit Society-Run,John Wiley & Sons,Netherlands Entomological Society,Society/Association,USA,Hybrid,4357,,Yes,No,Yes,0.497,"Q2 (Ecology, Evolution, Behavior and Systematics; Insect Science)",102,No,1570-7458,0013-8703,0013-8703
Ecology & Evolution,Zoology,Environmental Entomology,https://academic.oup.com/ee,University Press Society-Run,Oxford University Press (OUP),Entomological Society of America,Society/Association,UK,Hybrid,3092,,Yes,No,No,0.512,"Q2 (Ecology; Ecology, Evolution, Behavior and Systematics; Insect Science)",109,No,1938-2936,0046-225X,0046-225X
Ecology & Evolution,Microbiology,Environmental Microbiology,https://enviromicro-journals.onlinelibrary.wiley.com/journal/14622920,For-profit,John Wiley & Sons,,,USA,Hybrid,3102,,Yes,No,No,1.269,"Q1 (Ecology, Evolution, Behavior and Systematics; Microbiology)",247,No,1462-2920,1462-2912,1462-2912
Ecology & Evolution,Microbiology,Environmental Microbiology Reports,https://enviromicro-journals.onlinelibrary.wiley.com/journal/17582229,For-profit,John Wiley & Sons,,,USA,Hybrid,2577,,Yes,No,Yes,0.823,"Q1 (Agricultural and Biological Sciences; Ecology, Evolution, Behavior and Systematics)",97,No,1758-2229,1758-2229,1758-2229
Ecology & Evolution,Generalist,Environmental Research,https://www.sciencedirect.com/journal/environmental-research,For-profit,Elsevier,,,Netherlands,Hybrid,3270,,Yes,No,Yes,1.836,"Q1 (Biochemistry; Environmental Science; Public Health, Environmental and Occupational Health)",217,No,1096-0953,0013-9351,0013-9351
Ecology & Evolution,Applied Ecology,Environmental Science and Pollution Research,https://www.springer.com/journal/11356,For-profit Society-Run,Springer Nature,European Chemical Society,Society/Association,Germany / UK,Hybrid,3145,,Yes,No,Yes,0.909,Q1 (Medicine),234,No,1614-7499,0944-1344,0944-1344
Ecology & Evolution,Applied Ecology,Environmental Toxicology and Chemistry,https://setac.onlinelibrary.wiley.com/journal/15528618,For-profit Society-Run,John Wiley & Sons,Society of Environmental Toxicology and Chemistry,Society/Association,USA,Hybrid,2237,,Yes,No,No,1.34,"Q1 (Environmental Chemistry; Health, Toxicology and Mutagenesis)",206,No,1552-8618,0730-7268,0730-7268
Ecology & Evolution,Genetics,Estuarine Coastal and Shelf Science,https://www.journals.elsevier.com/estuarine-coastal-and-shelf-science,For-profit Society-Run,Elsevier,Estuarine Coastal Sciences Association,Society/Association,Netherlands,Hybrid,2391,,Yes,No,No,0.83,Q1 (Aquatic Science; Oceanography),171,No,1096-0015,0272-7714,0272-7714
Ecology & Evolution,Zoology,European Journal of Entomology,https://www.eje.cz/,Non-profit,Czech Academy of Sciences,Czech Academy of Sciences,University/Government,Czech Republic,OA,200,,Yes,Yes,Yes,0.371,Q2 (Insect Science),67,No,1802-8829,1210-5759,1210-5759
Ecology & Evolution,Genetics,European Journal of Human Genetics,https://www.nature.com/ejhg/,For-profit Society-Run,Springer Nature,European Society of Human Genetics,Society/Association,Germany / UK,Hybrid,3364,,Yes,No,Yes,1.595,Q1 (Genetics),153,No,1476-5438,1018-4813,1018-4813
Ecology & Evolution,Genetics,European Journal of Phycology,https://www.tandfonline.com/toc/tejp20/current,For-profit Society-Run,Taylor & Francis Group,British Phycological Society,Society/Association,UK,Hybrid,3190,,Yes,No,Yes,0.542,Q2 (Aquatic Science; Plant Science),84,No,1469-4433,0967-0262,0967-0262
Ecology & Evolution,Genetics,European Journal of Soil Science,https://bsssjournals.onlinelibrary.wiley.com/journal/13652389,For-profit Society-Run,John Wiley & Sons,British Society of Soil Science,Society/Association,USA,Hybrid,2600,,Yes,No,No,1.244,Q1 (Soil Science),150,No,1365-2389,1351-0754,1351-0754
Ecology & Evolution,Genetics,European Journal of Taxonomy,https://europeanjournaloftaxonomy.eu/index.php/ejt,Non-profit,European Journal of Taxonomy Consortium,European Journal of Taxonomy Consortium,University/Government,France,OA diamond,0,,Yes,Yes,No,0.629,Q1 (Animal Science and Zoology; Insect Science; Paleontology),29,No,2118-9773,,2118-9773
Ecology & Evolution,Zoology,European Zoological Journal,https://www.tandfonline.com/journals/tizo21,For-profit Society-Run,Taylor & Francis Group,Italian Society of Zoologists,Society/Association,UK,OA,1177,,Yes,Yes,Yes,0.52,Q2 (Animal Science and Zoology),51,PCI friendly,2475-0263,,2475-0263
Ecology & Evolution,Health,Eurosurveillance,https://www.eurosurveillance.org/,Non-profit,European Centre for Disease Prevention and Control,European Centre for Disease Prevention and Control,University/Government,Sweden,OA diamond,0,,Yes,Yes,No,2.81,"Q1 (Epidemiology; Infectious Diseases; Medicine; Microbiology; Public Health, Environmental and Occupational Health; Virology)",143,No,1560-7917,1025-496X,1025-496X
Ecology & Evolution,Evolution,Evolution,https://academic.oup.com/evolut,University Press Society-Run,Oxford University Press (OUP),Society for the Study of Evolution,Society/Association,UK,Hybrid,1371,,Yes,No,Yes,1.171,"Q1 (Agricultural and Biological Sciences; Ecology, Evolution, Behavior and Systematics)",234,PCI friendly,1558-5646,0014-3820,0014-3820
Ecology & Evolution,Evolution,Evolution and Development,https://onlinelibrary.wiley.com/journal/1525142x,For-profit,John Wiley & Sons,,,USA,Hybrid,2850,,Yes,No,No,0.821,"Q1 (Ecology, Evolution, Behavior and Systematics)",92,No,1525-142X,1520-541X,1520-541X
Ecology & Evolution,Evolution,Evolution Letters,https://academic.oup.com/evlett,University Press Society-Run,Oxford University Press (OUP),Society for the Study of Evolution / European Society for Evolutionary Biology,Society/Association,UK,OA,2077,,Yes,Yes,Yes,1.738,"Q1 (Ecology, Evolution, Behavior and Systematics; Genetics)",43,PCI friendly,2056-3744,,2056-3744
Ecology & Evolution,Health,"Evolution, Medicine, and Public Health",https://academic.oup.com/emph,University Press Society-Run,Oxford University Press (OUP),International Society for Evolution Medicine and Public Health,Society/Association,UK,OA,3419,,Yes,Yes,Yes,0.809,"Q1 (Ecology, Evolution, Behavior and Systematics)",40,No,2050-6201,,2050-6201
Ecology & Evolution,Genetics,Evolutionary Journal of the Linnean Society,https://academic.oup.com/evolinnean,University Press Society-Run,Oxford University Press (OUP),Linnean Society,Society/Association,UK,OA,1868,,No,Yes,Yes,,,,No,2752-938X,,2752-938X
Ecology & Evolution,Genetics,Evolutionary Systematics,https://evolsyst.pensoft.net/,For-profit Society-run,Pensoft,Center of Natural History at the University of Hamburg,University/Government,Bulgaria,OA,420,,Yes,Yes,No,0.539,"Q2 (Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics; Insect Science)",11,No,2535-0730,,2535-0730
Ecology & Evolution,Microbiology,FEMS Microbiology Ecology,https://academic.oup.com/femsec,University Press Society-Run,Oxford University Press (OUP),Federation of European Microbiological Societies,Society/Association,UK,Hybrid,2547,,Yes,Yes,Yes,1.028,Q1 (Applied Microbiology and Biotechnology; Ecology),199,No,1574-6941,0168-6496,0168-6496
Ecology & Evolution,Genetics,Flora Mediterranea,https://www.herbmedit.org/FlMedit.html,Non-profit,Organisation for the Phyto-Taxonomic Investigation of the Mediterranean Area,Organisation for the Phyto-Taxonomic Investigation of the Mediterranean Area,Society/Association,Italy,OA,,,Yes,Yes,No,0.312,Q3 (Plant Science),18,No,2240-4538,1120-4052,1120-4052
Ecology & Evolution,Genetics,Folia Amazonica,https://revistas.iiap.gob.pe/index.php/foliaamazonica/,Non-profit,Instituto de Investigaciones de la Amazona Peruana,Instituto de Investigaciones de la Amazona Peruana,University/Government,Peru,OA diamond,0,,Yes,No,No,0.139,"Q4 (Ecology; Ecology, Evolution, Behavior and Systematics; Forestry; Plant Science)",4,No,2410-1184,1018-5674,1018-5674
Ecology & Evolution,Health,Folia Parasitologica,https://folia.paru.cas.cz/,Non-profit,Czech Academy of Sciences,Czech Academy of Sciences,University/Government,Czech Republic,OA,164,,Yes,No,No,0.46,Q2 (Parasitology),53,No,1803-6465,0015-5683,0015-5683
Ecology & Evolution,Zoology,Folia Primatologica,https://www.karger.com/Journal/Home/223842,For-profit Society-Run,Karger Publishers,European Federation for Primatology / Primate Society of Great Britain,Society/Association,Switzerland,Hybrid,,,Yes,No,No,0.4,"Q2 (Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics)",54,No,1421-9980,0015-5713,0015-5713
Ecology & Evolution,Genetics,Fottea,https://fottea.czechphycology.cz/,Non-profit,Czech Phycological Society,Czech Phycological Society,Society/Association,Czech Republic,OA diamond,0,,Yes,No,No,0.412,Q2 (Plant Science),37,No,1805-4927,1802-5439,1802-5439
Ecology & Evolution,Zoology,Fragmenta Entomologica,https://rosa.uniroma1.it/rosa02/fragmenta_entomologica/,Non-profit,Riviste Online Sapienza,Sapienza University of Rome,University/Government,Italy,OA diamond,0,,Yes,Yes,No,0.318,"Q3 (Ecology; Ecology, Evolution, Behavior and Systematics; Insect Science)",12,No,2284-4880,0429-288X,0429-288X
Ecology & Evolution,Genetics,Freshwater Science,https://www.journals.uchicago.edu/toc/fws/current,University Press Society-Run,The University of Chicago Press Journals,Society of Freshwater Science,Society/Association,USA,Hybrid,352,,Yes,No,No,0.611,"Q2 (Aquatic Science; Ecology; Ecology, Evolution, Behavior and Systematics)",135,No,2161-9565,2161-9549,2161-9549
Ecology & Evolution,Applied Ecology,Frontiers in Ecology and the Environment,https://esajournals.onlinelibrary.wiley.com/journal/15409309,For-profit Society-Run,John Wiley & Sons,Ecological Society of America,Society/Association,USA,Hybrid,3150,,Yes,No,Yes,2.999,"Q1 (Ecology; Ecology, Evolution, Behavior and Systematics)",220,No,1540-9309,1540-9295,1540-9295
Ecology & Evolution,Generalist,Frontiers in Evolutionary Neuroscience,https://www.frontiersin.org/journals/evolutionary-neuroscience,For-profit,Frontiers Media SA,,,Switzerland,OA,0,,No,No,No,,,,No,,,
Ecology & Evolution,Applied Ecology,Frontiers of Biogeography,https://escholarship.org/uc/fb,University Press Society-Run,eScholarship,International Biogeography Society,Society/Association,Bulgaria,OA,356,,Yes,Yes,Yes,0.766,"Q1 (Ecology; Ecology, Evolution, Behavior and Systematics)",23,PCI friendly,1948-6596,,1948-6596
Ecology & Evolution,Genetics,Functional Ecology,https://besjournals.onlinelibrary.wiley.com/journal/13652435,For-profit Society-Run,John Wiley & Sons,British Ecological Society,Society/Association,USA,Hybrid,2428,,Yes,Yes,Yes,1.972,"Q1 (Ecology, Evolution, Behavior and Systematics)",201,No,1365-2435,0269-8463,0269-8463
Ecology & Evolution,Fungi,Fungal Biology,https://www.sciencedirect.com/journal/fungal-biology,For-profit Society-Run,Elsevier,British Mycological Society,Society/Association,Netherlands,Hybrid,1856,,Yes,No,No,0.678,"Q1 (Ecology, Evolution, Behavior and Systematics)",129,No,,1878-6146,1878-6146
Ecology & Evolution,Fungi,Fungal Biology Reviews,https://www.sciencedirect.com/journal/fungal-biology-reviews,For-profit Society-Run,Elsevier,British Mycological Society,Society/Association,Netherlands,Subscription,3292,,Yes,No,No,1.289,Q1 (Microbiology; Plant Science),75,No,,1749-4613,1749-4613
Ecology & Evolution,Fungi,Fungal Diversity,https://www.springer.com/journal/13225,For-profit Society-run,Springer Nature,Kunming Institute of Botany of the Chinese Academy of Sciences,University/Government,Germany / UK,Hybrid,2640,,Yes,No,No,6.487,"Q1 (Ecology; Ecology, Evolution, Behavior and Systematics; Plant Science)",145,No,1878-9129,1560-2745,1560-2745
Ecology & Evolution,Fungi,Fungal Ecology,https://www.sciencedirect.com/journal/fungal-ecology,For-profit Society-Run,Elsevier,British Mycological Society,Society/Association,Netherlands,Subscription,2853,,Yes,No,No,0.812,"Q1 (Ecology; Ecology, Evolution, Behavior and Systematics; Plant Science)",83,No,,1754-5048,
Ecology & Evolution,Genetics,G3 - Genes Genomes Genetics,https://academic.oup.com/g3journal,University Press Society-Run,Oxford University Press (OUP),Genetics Society of America,Society/Association,UK,OA,2881,,Yes,Yes,Yes,0.893,Q2 (Genetics; Medicine; Molecular Biology),98,No,2160-1836,,2160-1836
Ecology & Evolution,Genetics,Gayana,https://gayana.cl,Non-profit,Universidad de Concepcion Ediciones,Universidad de Concepcion,University/Government,Chile,OA,,,Yes,Yes,No,0.218,Q3 (Animal Science and Zoology),22,No,0717-6538,0717-652X,0717-652X
