Journal's MAIN field,Field,Journal,Website,Publisher type,Publisher,Institution,Institution type,Country,Business model,APC Euros,Alternative journal name,Present in Scimago,Present in DOAJ,Present in openAPC,Scimago Rank,Scimago Quartile,H index,PCI partner,e-ISSN,p-ISSN,ISSN-L
Ecology & Evolution,Genetics,American Fern Journal,https://www.amerfernsoc.org/american-fern-journal,Non-profit,American Fern Society,American Fern Society,Society/Association,USA,Subscription,,,Yes,No,No,0.242,"Q3 (Ecology, Evolution, Behavior and Systematics; Plant Science)",31,No,,0002-8444,0002-8444
Ecology & Evolution,Genetics,American Journal of Botany,https://bsapubs.onlinelibrary.wiley.com/journal/15372197,For-profit Society-Run,John Wiley & Sons,Botanical Society of America,Society/Association,USA,Hybrid,618,,Yes,No,No,0.916,"Q1 (Ecology, Evolution, Behavior and Systematics; Plant Science)",186,No,1537-2197,0002-9122,0002-9122
Ecology & Evolution,Zoology,American Journal of Primatology,https://onlinelibrary.wiley.com/journal/10982345,For-profit Society-Run,John Wiley & Sons,The American Society of Primatologists,Society/Association,USA,Subscription,2844,,Yes,No,No,0.512,"Q2 (Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics)",99,No,1098-2345,0275-2565,0275-2565
Ecology & Evolution,Genetics,American Naturalist,https://www.journals.uchicago.edu/toc/an/current,University Press Society-Run,University of Chicago Press,American Society of Naturalists,Society/Association,USA,Hybrid,4713,,Yes,No,Yes,1.18,"Q1 (Ecology, Evolution, Behavior and Systematics)",242,No,1537-5323,0003-0147,0003-0147
Ecology & Evolution,Zoology,Amphibia-Reptilia,https://brill.com/view/journals/amre/amre-overview.xml,For-profit Society-Run,De Gruyter Brill,Societas Europaea Herpetologica,Society/Association,Germany / Netherlands,Hybrid,1977,,Yes,No,No,0.408,"Q2 (Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics)",56,No,1568-5381,0173-5373,0173-5373
Ecology & Evolution,Zoology,Anatomical Record,https://anatomypubs.onlinelibrary.wiley.com/journal/19328494,For-profit Society-Run,John Wiley & Sons,American Association of Anatomists,Society/Association,USA,Hybrid,2118,,Yes,No,No,0.745,"Q1 (Anatomy; Ecology, Evolution, Behavior and Systematics)",109,No,1932-8494,1932-8486,1932-8486
Ecology & Evolution,Zoology,Animal,https://bsas.org.uk/publications/animal,For-profit Society-Run,Elsevier,British Society of Animal Science / European Association for Animal Production / Institut National de Recherche pour l'Agriculture l'Alimentation et l'Environnement,Society/Association,Netherlands,OA,1507,,Yes,Yes,Yes,1.069,Q1 (Animal Science and Zoology),143,PCI friendly,1751-732X,1751-7311,1751-7311
Ecology & Evolution,Genetics,Animal Behaviour,https://www.journals.elsevier.com/animal-behaviour,For-profit Society-Run,Elsevier,Association for the Study of Animal Behaviour,Society/Association,Netherlands,Hybrid,493,,Yes,No,Yes,0.849,"Q1 (Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics)",202,No,1095-8282,0003-3472,0003-3472
Ecology & Evolution,Genetics,Animal Biodiversity and Conservation,https://abc.museucienciesjournals.cat/about/?lang=en,Non-profit,Museu de Ciencies Naturals de Barcelona,Museu de Ciencies Naturals de Barcelona,University/Government,Spain,OA diamond,0,,Yes,Yes,No,0.343,Q3 (Animal Science and Zoology; Nature and Landscape Conservation),43,No,2014-928X,1578-665X,1578-665X
Ecology & Evolution,Applied Ecology,Animal Conservation,https://zslpublications.onlinelibrary.wiley.com/journal/14691795,For-profit Society-Run,John Wiley & Sons,Zoological Society of London,Society/Association,USA,Hybrid,2610,,Yes,No,No,1.017,Q1 (Ecology; Nature and Landscape Conservation),104,No,1469-1795,1367-9430,1367-9430
