Journal's MAIN field,Field,Journal,Website,Publisher type,Publisher,Institution,Institution type,Country,Business model,APC Euros,Alternative journal name,Present in Scimago,Present in DOAJ,Present in openAPC,Scimago Rank,Scimago Quartile,H index,PCI partner,e-ISSN,p-ISSN,ISSN-L
Plant Biology,Agriculture,Rice,https://link.springer.com/journal/12284,For-profit,Springer Nature,,,Germany / UK,OA,2636,,Yes,Yes,Yes,1.524,Q1 (Agronomy and Crop Science; Plant Science; Soil Science),88,No,1939-8433,1939-8425,1939-8425
Plant Biology,Generalist,South African Journal of Botany,https://www.sciencedirect.com/journal/south-african-journal-of-botany,For-profit Society-run,Elsevier,South African Association of Botanists,Society/Association,Netherlands,Hybrid,2477,,Yes,No,No,0.596,Q2 (Plant Science),98,No,,0254-6299,0254-6299
Plant Biology,Generalist,Systematic Botany,https://bioone.org/journals/systematic-botany,Non-profit,The American Society of Plant Taxonomists,The American Society of Plant Taxonomists,Society/Association,USA,Hybrid,534,,Yes,No,No,0.305,"Q3 (Ecology, Evolution, Behavior and Systematics; Plant Science)",87,No,1548-2324,0363-6445,0363-6445
Plant Biology,Generalist,The Botanical Review,https://link.springer.com/journal/12229,For-profit Society-run,Springer Nature,New York Botanical Garden,University/Government,Germany / UK,Hybrid,2624,,Yes,No,No,1.22,"Q1 (Ecology, Evolution, Behavior and Systematics; Plant Science)",84,No,1874-9372,0006-8101,0006-8101
Plant Biology,Generalist,The Bryologist,https://www.jstor.org/journal/bryologist,Non-profit,JSTOR,American Bryological and Lichenological Society,Society/Association,USA,,,,Yes,No,No,0.329,"Q3 (Ecology, Evolution, Behavior and Systematics; Plant Science)",57,No,,0007-2745,0007-2745
Plant Biology,Generalist,The Lichenologist,https://www.cambridge.org/core/journals/lichenologist,University Press,Cambridge University Press (CUP),,,UK,Hybrid,2132,,Yes,No,No,0.318,"Q3 (Ecology, Evolution, Behavior and Systematics)",55,No,1096-1135,0024-2829,0024-2829
Plant Biology,Molecular and Cellular Biology,The Plant Cell,https://academic.oup.com/plcell,University Press,Oxford University Press (OUP),,,UK,Hybrid,5165,,Yes,No,Yes,4.088,Q1 (Cell Biology; Plant Science),428,No,1532-298X,1040-4651,1040-4651
Plant Biology,Genetics,The Plant Genome,https://acsess.onlinelibrary.wiley.com/journal/19403372,For-profit Society-Run,John Wiley & Sons,Crop Science Society of America,Society/Association,USA,OA,2287,,Yes,Yes,Yes,1.126,Q1 (Agronomy and Crop Science; Plant Science),78,No,1940-3372,1940-3372,1940-3372
Plant Biology,Generalist,The Plant Journal,https://onlinelibrary.wiley.com/journal/1365313x,For-profit Society-run,John Wiley & Sons,Society for Experimental Biology (SEB),Society/Association,USA,Hybrid,4747,,Yes,No,Yes,2.14,Q1 (Cell Biology; Genetics; Plant Science),341,No,1365-313X,0960-7412,0960-7412
Plant Biology,Physiology,Tree Physiology,https://academic.oup.com/treephys,University Press,Oxford University Press (OUP),,,UK,Hybrid,3402,,Yes,No,Yes,1.073,Q1 (Plant Science),163,No,1758-4469,0829-318X,0829-318X
Plant Biology,Generalist,Trends in Plant Science,https://www.cell.com/trends/plant-science,For-profit,Elsevier (Cell Press),,,USA,Hybrid,5872,,Yes,No,Yes,3.324,Q1 (Plant Science),336,No,1878-4372,1360-1385,1360-1385
Plant Biology,Generalist,Tropical Plant Biology,https://link.springer.com/journal/12042,For-profit,Springer Nature,,,Germany / UK,Hybrid,2604,,Yes,No,No,0.395,Q2 (Plant Science),34,No,1935-9764,1935-9756,1935-9756
Plant Biology,Agriculture,Weed Science,https://www.cambridge.org/core/journals/weed-science,University Press Society-run,Cambridge University Press (CUP),Weed Science Society of America,Society/Association,UK,Hybrid,1615,,Yes,No,No,0.571,Q2 (Agronomy and Crop Science; Plant Science),113,No,1550-2759,0043-1745,0043-1745
